user_id,psychological_profile_openness,psychological_profile_conscientiousness,psychological_profile_extraversion,psychological_profile_agreeableness,psychological_profile_neuroticism,psychological_profile_patience,psychological_profile_tech_savviness,psychological_profile_decision_style,content_preferences_Action,content_preferences_Comedy,content_preferences_Drama,content_preferences_Sci-Fi,content_preferences_Horror,content_preferences_Thriller,content_preferences_Romance,content_preferences_Documentary,content_preferences_Family,content_preferences_Animation
user_0,0.42590274756925245,0.6475064269605457,0.5820382810494635,0.5700881440017503,0.24217209461968456,0.8251899366642006,0.8845637786865322,avoidant,0.3214002666910985,0.9409154055964596,0.19724979427671857,0.42873776596408714,0.48291544932625097,0.3590099718051677,0.28201698546568,0.7743325866897934,0.04486033687813229,0.42028936724017346
user_1,0.19581681574761373,0.5759377221224015,0.8019641668487639,0.6929359947573602,0.06904773968763292,0.6283807239141741,0.753061639946576,avoidant,0.014397678357789573,0.2527211330449379,0.24273126545588022,0.14389843450271228,0.3086191643728176,0.15091893961272324,0.46777754251889253,0.05628221920905746,0.0,0.1820175239604986
user_2,0.7864154574215386,0.7155776391740557,0.8439816399676362,0.4683136735159073,0.399356626329338,0.6091291177804707,0.7885142655829109,avoidant,1.0702185795633241,0.10863335191418266,0.9095095350523501,0.6126948114498836,0.3917182058169958,0.9892210280246234,0.8631336532138001,0.9704506990527194,0.6333897539327262,0.5254942533398828
user_3,0.17864710024689984,0.7537865693644287,0.35441188322871114,0.766635986743493,0.28209899692845575,0.40968990695565477,0.46569458928855023,rational,0.0,0.3747644249911447,0.38015100319568274,0.17241307520402477,0.41896643596210004,0.1491719514215347,0.24946893904907902,0.09541461204434702,0.2926470514127933,0.0
user_4,0.4591867359998754,0.8461012631611997,0.6538941024766269,0.4794712462206329,0.7469170172298412,0.7182222575946678,0.518998528866295,rational,0.36182211023170824,0.29889390697315255,0.3092735022722167,0.46125143755911296,0.7716474437051735,0.38645919699865006,0.6965188382741705,0.42153600841248173,0.21351310241135416,0.3467570762854298
user_5,0.5493303740843953,0.7133913562548778,0.429511093175071,0.8152520339532088,0.14308515044777806,0.3074139825494948,0.8046095521848162,rational,0.6817425247314883,0.601196466904815,0.39552068562340936,0.5521212254290482,0.4257375528784656,0.3938814897641959,0.7030765675808601,0.6669738509573518,0.8189149362737183,0.4291506660953164
user_6,0.1602712154393371,0.5484384969981293,0.3831315040616031,0.3585323616260008,0.3124193716947982,0.45745384313299475,0.5139341145749579,intuitive,0.0637006033164802,0.35696481068136,0.1067624616058642,0.28395642088955464,0.27539239762730816,0.054156433753560426,0.09208589455590878,0.12676214899207922,0.0,0.08741157928661451
user_7,0.19643543478302133,0.6836541929424529,0.37266677926458164,0.6361406727694612,0.41005387708140395,0.11497939721892284,0.6239392696179321,spontaneous,0.2190189683167293,0.5978653266459301,0.36488866742663295,0.0,0.30938210970384095,0.5445625773709392,0.06634187005802833,0.4516215356119561,0.3424964113427388,0.22393121577424316
user_8,0.7599168409332933,0.3356717341937561,0.4600259594076373,0.4933936144634913,0.569113892001048,0.5351418809351,0.7266932402984011,rational,0.7529534654584578,0.7382582982463268,0.7313684785368236,0.5168756495102036,0.8132877779175602,0.6225931387066366,0.7386285891725362,0.72215021255061,0.4379616393193586,0.4697805021050064
user_9,0.6079102177699613,0.5543661435911454,0.48807153969469075,0.56122916656407,0.6828794387603523,0.45539617057617915,0.7215884321838781,avoidant,0.13028229409172376,0.7917426482713021,0.8976072746673749,0.6189428481719029,0.5419154432289928,0.7999070551474818,0.8686042407045607,0.4896031631859441,0.6805903765040986,0.8043884119129153
user_10,0.554436296970838,0.27232723334461534,0.7177838506499385,0.1946508004346006,0.3424229238099455,0.5649982609815979,0.8097862059073013,intuitive,0.45127194646215957,0.48729442055686933,0.27248911557505334,0.44754227708113353,0.5505877649835297,0.7687056546405509,0.6778780440734934,0.3345306314460427,0.6136824869610713,0.25423379191538176
user_11,0.15574354911495164,0.637855047118028,0.7293815840940862,0.64760009268825,0.1480035181228777,0.19914946797592542,0.380659544038102,avoidant,0.0,0.07041826320982003,0.6240921553832524,0.4522392486977022,0.02507329570173722,0.24803892545305223,0.022300646369808663,0.0,0.4387823671940957,0.0
user_12,0.23728075181011632,0.44994987878507947,0.48924682201850966,0.8489542953701662,0.5810896545069607,0.5044146274311027,0.7858185072030787,avoidant,0.37155801104147135,0.0,0.19350210198070164,0.2952903705965166,0.08381486179519665,0.07511823894111441,0.311456047902655,0.27141285669964216,0.4582352855427655,0.23244118486052545
user_13,0.8649052463776138,0.8959260395439592,0.520238745121895,0.8796774451812054,0.6286574210973852,0.7703216335767296,0.6059584355061094,rational,0.5490961993040699,1.0113716087200058,1.0935172870531809,0.63485533853695,0.8606584431723944,0.661020495240805,0.936975251142875,1.029109977929644,1.009191488310767,0.8065877995368976
user_14,0.21372157236234687,0.32838963133974364,0.4681589079247577,0.6448622356944276,0.15787594987038892,0.8168111510064314,0.38674283140048243,intuitive,0.2373998972652134,0.1223122408950522,0.2719922669651866,0.44810849287437116,0.1683612585174865,0.2360120386965309,0.6171433564485118,0.21986798220723572,0.0,0.3867932170743768
user_15,0.5393636397534552,0.6012716488960301,0.4433304243668703,0.6666113955448348,0.661352552133514,0.5485257318132221,0.5847529443169844,rational,0.2577863868496283,0.4804799257780709,0.5523570040218932,0.47651610193982863,0.5781965426888077,0.3065770782805439,0.4296765119033338,0.7621668211304802,0.48520070994083686,0.6325211661404185
user_16,0.48896353894867733,0.8478591635460094,0.6903647495271241,0.5276028639015279,0.13398397767167342,0.7236068250094246,0.767585781333848,avoidant,0.22816785830203795,0.6078460000978111,0.7791526488969762,0.8259917068327054,0.560941170656939,0.2093913476827708,0.46553576647187966,0.10347758653989492,0.19705886470684447,0.3574147796597683
user_17,0.2567223613033788,0.6112125349732185,0.6492486807112134,0.6913167385543688,0.2871791686329979,0.5450420892884942,0.7827158570560567,intuitive,0.007030091388465914,0.216703334748977,0.0835267859176693,0.11061256937445793,0.4392951908955044,0.05129103997457932,0.13569103449718206,0.03665208222783056,0.0,0.09655794155221739
user_18,0.057205278177807434,0.5294442236829173,0.3951668087595657,0.8552947897082867,0.5962787769409277,0.3303002528155508,0.8732194249704799,avoidant,0.13623408584604835,0.13626322661482254,0.0,0.0,0.0,0.09983456712348666,0.10270393495823507,0.1967151375874697,0.05435628104294617,0.2577019496449784
user_19,0.23625277010426926,0.2043567125722696,0.2019080137870014,0.6224822322947771,0.2899985357327854,0.5130090466000907,0.793347741141794,spontaneous,0.39106787123386283,0.06677932648513685,0.39716804622128743,0.17188615945607588,0.16565402586466527,0.16455481461155866,0.17783677699071862,0.0,0.27113332257811795,0.05931684192296863
user_20,0.3591666863897161,0.31711324078855735,0.5852347887479099,0.6924062837799612,0.39030916593809123,0.2743857542988785,0.46295520572151705,spontaneous,0.3315372577554724,0.35760482984272096,0.21444935583697447,0.14687162945822702,0.3941113663813355,0.12920135037784494,0.3100237836983494,0.2887363604914225,0.33652326315088477,0.06110841715352516
