timestamp,session_id,user_id,action_type,screen_context,focused_item,derived_states,sequence_context,click_type,session_end_reason
2025-06-26T21:07:17.105486,session_0,user_heartbroken_romantic_0,session_start,Home,,NOT_LOGGED_RAW,"{""time_since_last_action"": 0.0, ""consecutive_action_count"": 0}",,
2025-06-26T21:07:20.745019,session_0,user_heartbroken_romantic_0,click,Detail_Page,"{""item_id"": ""244403"", ""title"": ""Rudderless"", ""genres"": [""Music"", ""Drama"", ""Comedy""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 3.64, ""consecutive_action_count"": 1}",more_info,
2025-06-26T21:07:21.795043,session_0,user_heartbroken_romantic_0,click,Detail_Page,"{""item_id"": ""244403"", ""title"": ""Rudderless"", ""genres"": [""Music"", ""Drama"", ""Comedy""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 1.05, ""consecutive_action_count"": 2}",more_info,
2025-06-26T21:07:24.226099,session_0,user_heartbroken_romantic_0,click,Detail_Page,"{""item_id"": ""244403"", ""title"": ""Rudderless"", ""genres"": [""Music"", ""Drama"", ""Comedy""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 2.43, ""consecutive_action_count"": 3}",more_info,
2025-06-26T21:07:27.971954,session_0,user_heartbroken_romantic_0,back,Home,"{""item_id"": ""244403"", ""title"": ""Rudderless"", ""genres"": [""Music"", ""Drama"", ""Comedy""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 3.75, ""consecutive_action_count"": 1}",,
2025-06-26T21:07:30.804685,session_0,user_heartbroken_romantic_0,dpad_down,Home,"{""item_id"": ""244403"", ""title"": ""Rudderless"", ""genres"": [""Music"", ""Drama"", ""Comedy""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 2.83, ""consecutive_action_count"": 1}",,
2025-06-26T21:07:34.048699,session_0,user_heartbroken_romantic_0,click,Detail_Page,"{""item_id"": ""14048"", ""title"": ""Man on Wire"", ""genres"": [""Thriller"", ""Documentary"", ""Crime"", ""History""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 3.24, ""consecutive_action_count"": 1}",more_info,
2025-06-26T21:07:36.388976,session_0,user_heartbroken_romantic_0,click,Detail_Page,"{""item_id"": ""14048"", ""title"": ""Man on Wire"", ""genres"": [""Thriller"", ""Documentary"", ""Crime"", ""History""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 2.34, ""consecutive_action_count"": 2}",trailer,
2025-06-26T21:07:38.571709,session_0,user_heartbroken_romantic_0,back,Home,"{""item_id"": ""14048"", ""title"": ""Man on Wire"", ""genres"": [""Thriller"", ""Documentary"", ""Crime"", ""History""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 2.18, ""consecutive_action_count"": 1}",,
2025-06-26T21:07:40.317852,session_0,user_heartbroken_romantic_0,click,Detail_Page,"{""item_id"": ""14048"", ""title"": ""Man on Wire"", ""genres"": [""Thriller"", ""Documentary"", ""Crime"", ""History""]}",NOT_LOGGED_RAW,"{""time_since_last_action"": 1.75, ""consecutive_action_count"": 1}",more_info,
