user_id,session_id,interaction_timestamp,interaction_type,platform_target,content_id,dpad_navigation_count,navigation_speed,scroll_depth_percentage,back_button_presses,home_button_presses,time_since_last_interaction,hover_duration_ms,decision_latency_ms,device_model,network_latency_ms,cpu_usage_percent,memory_usage_mb,content_position_in_carousel,trailer_viewed,content_details_viewed,external_app_launched,search_query_length,search_results_clicked,navigation_efficiency,decision_confidence,platform_switching_rate,content_exploration_breadth,session_engagement_score,cognitive_load_indicator,frustration_level,attention_span_estimate,recommendation_acceptance_rate,social_proof_sensitivity,price_sensitivity_indicator,multi_platform_comparison_behavior,return_user_likelihood,content_abandonment_tendency,ui_adaptation_speed,platform_loyalty_score,cross_platform_session_coherence,deep_link_success_rate,return_to_mediator_frequency,content_discovery_method_preference,peak_usage_time_alignment,weekend_vs_weekday_behavior_variance,social_viewing_context_indicator,voice_command_usage_frequency,interaction_datetime,hour_of_day,day_of_week,is_weekend,is_peak_hours
firetv_user_0000,firetv_user_0000_session_000,1749882512,browse,hotstar,,3,38.33095239,40.28636565,1,1,0,8676,2886,fire_tv_stick_lite,52,29.74877149,591,18,FALSE,FALSE,FALSE,0,0,0.48,0.28456,0.839974615,0.994743982,0.76510484,0.5772,0.3,1,0.286718089,0.126570229,0.496409198,0.595615321,0.681554085,0.310137053,0.422466006,-0.050815329,0.889601779,0.753224292,0.585532533,0.987728404,0.624962653,0.360449774,0.242777906,0.024961978,6/14/2025 11:58,11,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749882594,platform_switch,hotstar,,5,30.98242956,56.81719484,1,0,66.92440216,755,2235,fire_tv_stick_lite,66,39.04050857,305,17,FALSE,FALSE,FALSE,0,0,0.48,0.3106,1.040395874,1.008672702,0.746509535,0.447,0.3,0.98,0.272083136,0.354403325,0.651639123,0.186335078,0.345884542,0.253551384,0.227612757,-0.146969887,0.622948387,0.646681813,0.38095049,0.387491458,0.437086069,0.680896679,0.829254316,0.007725924,6/14/2025 11:59,11,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749882669,platform_switch,hotstar,,5,35.74712374,25.48886704,0,0,21.32797682,1023,3074,fire_tv_stick_lite,198,38.96774281,398,14,FALSE,FALSE,FALSE,0,0,0.6,0.27704,0.919059871,0.947323762,0.689496608,0.6148,0,0.96,0.669762508,0.29350295,0.661045205,0.638565991,0.769974969,0.220028496,0.344625662,0.117618092,0.535999388,0.985762619,0.287811138,0.25019536,0.642845676,0.057211568,0.195502159,0.01805149,6/14/2025 12:01,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749882717,browse,hulu,,5,48.66911149,28.36739962,0,0,92.94310496,880,2706,fire_tv_stick_lite,244,50.43067652,532,2,FALSE,TRUE,FALSE,0,0,0.6,0.29176,0.900181361,0.975593528,0.761953136,0.5412,0,0.94,0.503604172,0.595909982,0.509049152,0.608129082,0.930037028,0.185536937,0.429489329,0.105074396,0.395671888,0.848409281,0.174220409,0.187178161,0.107027136,0.389983171,0.160847145,0.082657504,6/14/2025 12:01,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749882907,search,prime_video,,3,57.43205188,44.35952804,0,0,109.7775325,1510,7674,fire_tv_stick_lite,79,19.18346074,407,8,FALSE,FALSE,FALSE,10,1,0.6,0.09304,0.83176574,0.895180451,0.64965497,1,0,0.92,0.213441467,0.348554804,0.669307686,0.160014174,0.513880244,0.473506085,0.1301833,0.174196302,0.613689266,0.611181675,0.321518634,0.491972425,0.306194108,0.336751973,0.295158605,0.153840227,6/14/2025 12:05,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749882958,search,netflix,,3,42.4537595,67.16951372,0,0,62.7827593,1495,2725,fire_tv_stick_lite,56,37.00134419,182,15,FALSE,FALSE,FALSE,11,0,0.6,0.291,0.78987481,0.948767327,0.755842068,0.545,0,0.9,0.370232621,0.439879215,0.397263786,0.424716765,0.848995162,0.371930126,0.557091497,0.185140209,0.123400117,0.971046724,0.633370361,0.11232652,0.635512264,0.374998195,0.119809946,0.273159451,6/14/2025 12:05,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749882971,browse,hulu,,2,41.62969237,29.98056729,0,0,49.17602707,3066,6158,fire_tv_stick_lite,92,52.83112835,356,4,FALSE,FALSE,FALSE,0,0,0.6,0.15368,0.94945666,0.854138072,0.454669203,1,0,0.88,0.151514101,0.341543517,0.427881505,0.56707964,0.600120287,0.207187169,0.318336126,0.058812303,0.628611402,0.582206077,0.296546186,0.811162726,0.316619946,0.194840436,0.085648869,0.166167816,6/14/2025 12:06,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749883095,search,disney_plus,,1,51.09771312,32.08207801,0,0,40.87104186,1512,5788,fire_tv_stick_lite,49,42.56988617,307,2,TRUE,FALSE,FALSE,11,0,0.6,0.16848,0.986784904,0.806348598,0.43165542,1,0,0.86,0.156517778,0.470129834,0.645707814,0.737567465,0.52073672,0.225455893,0.318275703,-0.019427043,0.480575279,0.768974492,0.155180981,0.748928167,0.366616463,0.424733125,0.105196982,0.265542425,6/14/2025 12:08,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749883218,browse,youtube,,8,63.96032708,9.107818821,0,0,41.98092854,2185,7553,fire_tv_stick_lite,225,39.40968182,401,14,FALSE,FALSE,FALSE,0,0,0.6,0.09788,0.906156862,0.791893667,0.925368456,1,0,0.84,0.82245838,0.223522848,0.476032075,0.600514911,0.779721211,0.11363994,0.145072784,0.053085228,0.642089245,0.978040335,0.229789642,0.473287271,0.38155413,0.491013426,0.056618991,0.079324395,6/14/2025 12:10,12,5,TRUE,FALSE
firetv_user_0000,firetv_user_0000_session_000,1749883300,platform_switch,netflix,,5,37.22009815,39.75871106,0,0,2.343315174,692,8478,fire_tv_stick_lite,21,32.73754781,438,17,FALSE,FALSE,FALSE,0,0,0.6,0.06088,0.961058575,0.854625569,0.626900825,1,0,0.82,0.606987437,0.679698454,0.552293369,0.433805545,0.445217232,0.095319025,0.357477803,0.18896308,0.698811963,0.925573427,0.5817376,0.526726089,0.612214495,0.154965394,0.336971326,0.129908217,6/14/2025 12:11,12,5,TRUE,FALSE
